ID,FPS,LOOPTYPE,,
SlamDown,22,0,,
,,,,
TEXTURE ID,LEFT,TOP,WIDTH,HEIGHT
graphics/Player/NewWizard.png,491,154,22,28
graphics/Player/NewWizard.png,538,155,22,27
graphics/Player/NewWizard.png,583,149,26,33
graphics/Player/NewWizard.png,639,147,20,35
graphics/Player/NewWizard.png,687,151,21,31
graphics/Player/NewWizard.png,735,156,24,26
graphics/Player/NewWizard.png,783,156,23,26
graphics/Player/NewWizard.png,831,156,18,26
graphics/Player/NewWizard.png,875,158,22,23
graphics/Player/NewWizard.png,928,151,15,28
graphics/Player/NewWizard.png,976,149,15,32
