"RESOURCE_TYPES (0: 텍스쳐, 1: 폰트, 2: 사운드 클립, 3: 애니메이션 클립, 4: 애니메이션 스프라이트 클립)",RESOURCE_PATH
0,graphics/Player/Attack/Down/AttackBackDown1.png
0,graphics/Player/Attack/Down/AttackBackDown2.png
0,graphics/Player/Attack/Down/AttackBackDown3.png
0,graphics/Player/Attack/Down/AttackBackDown4.png
0,graphics/Player/Attack/Down/AttackBackDown5.png
0,graphics/Player/Attack/Down/AttackBackDown6.png
0,graphics/Player/Attack/Down/AttackBackDown7.png
0,graphics/Player/Attack/Down/AttackBackDown8.png
0,graphics/Player/Attack/Down/AttackBackDown9.png
3,animations/Player/Attack/AttackBackDown.csv
0,graphics/Player/Attack/Down/AttackForeDown1.png
0,graphics/Player/Attack/Down/AttackForeDown2.png
0,graphics/Player/Attack/Down/AttackForeDown3.png
0,graphics/Player/Attack/Down/AttackForeDown4.png
0,graphics/Player/Attack/Down/AttackForeDown5.png
0,graphics/Player/Attack/Down/AttackForeDown6.png
0,graphics/Player/Attack/Down/AttackForeDown7.png
0,graphics/Player/Attack/Down/AttackForeDown8.png
0,graphics/Player/Attack/Down/AttackForeDown9.png
3,animations/Player/Attack/AttackForeDown.csv
0,graphics/Player/Attack/Left/AttackBackLeft1.png
0,graphics/Player/Attack/Left/AttackBackLeft2.png
0,graphics/Player/Attack/Left/AttackBackLeft3.png
0,graphics/Player/Attack/Left/AttackBackLeft4.png
0,graphics/Player/Attack/Left/AttackBackLeft5.png
3,animations/Player/Attack/AttackBackLeft.csv
0,graphics/Player/Attack/Left/AttackForeLeft1.png
0,graphics/Player/Attack/Left/AttackForeLeft2.png
0,graphics/Player/Attack/Left/AttackForeLeft3.png
0,graphics/Player/Attack/Left/AttackForeLeft4.png
0,graphics/Player/Attack/Left/AttackForeLeft5.png
3,animations/Player/Attack/AttackForeLeft.csv
0,graphics/Player/Attack/Right/AttackBackRigth1.png
0,graphics/Player/Attack/Right/AttackBackRigth2.png
0,graphics/Player/Attack/Right/AttackBackRigth3.png
0,graphics/Player/Attack/Right/AttackBackRigth4.png
0,graphics/Player/Attack/Right/AttackBackRigth5.png
0,graphics/Player/Attack/Right/AttackBackRigth6.png
0,graphics/Player/Attack/Right/AttackBackRigth7.png
0,graphics/Player/Attack/Right/AttackBackRigth8.png
0,graphics/Player/Attack/Right/AttackBackRigth9.png
3,animations/Player/Attack/AttackBackRight.csv
0,graphics/Player/Attack/Right/AttackForeRight1.png
0,graphics/Player/Attack/Right/AttackForeRight2.png
0,graphics/Player/Attack/Right/AttackForeRight3.png
0,graphics/Player/Attack/Right/AttackForeRight4.png
0,graphics/Player/Attack/Right/AttackForeRight5.png
0,graphics/Player/Attack/Right/AttackForeRight6.png
0,graphics/Player/Attack/Right/AttackForeRight7.png
0,graphics/Player/Attack/Right/AttackForeRight8.png
3,animations/Player/Attack/AttackForeRight.csv
0,graphics/Player/Attack/Up/AttackBackUp1.png
0,graphics/Player/Attack/Up/AttackBackUp2.png
0,graphics/Player/Attack/Up/AttackBackUp3.png
0,graphics/Player/Attack/Up/AttackBackUp4.png
0,graphics/Player/Attack/Up/AttackBackUp5.png
0,graphics/Player/Attack/Up/AttackBackUp6.png
0,graphics/Player/Attack/Up/AttackBackUp7.png
0,graphics/Player/Attack/Up/AttackBackUp8.png
0,graphics/Player/Attack/Up/AttackBackUp9.png
0,graphics/Player/Attack/Up/AttackBackUp10.png
0,graphics/Player/Attack/Up/AttackBackUp11.png
3,animations/Player/Attack/AttackBackUp.csv
0,graphics/Player/Attack/Up/AttackForeUp1.png
0,graphics/Player/Attack/Up/AttackForeUp2.png
0,graphics/Player/Attack/Up/AttackForeUp3.png
0,graphics/Player/Attack/Up/AttackForeUp4.png
0,graphics/Player/Attack/Up/AttackForeUp5.png
0,graphics/Player/Attack/Up/AttackForeUp6.png
0,graphics/Player/Attack/Up/AttackForeUp7.png
0,graphics/Player/Attack/Up/AttackForeUp8.png
0,graphics/Player/Attack/Up/AttackForeUp9.png
0,graphics/Player/Attack/Up/AttackForeUp10.png
0,graphics/Player/Attack/Up/AttackForeUp11.png
0,graphics/Player/Attack/Up/AttackForeUp12.png
3,animations/Player/Attack/AttackForeUp.csv
0,graphics/Player/Idle/IdleDown.png
0,graphics/Player/Idle/IdleRight.png
0,graphics/Player/Idle/IdleUp.png
3,animations/Player/Idle/IdleDown.csv
3,animations/Player/Idle/IdleRight.csv
3,animations/Player/Idle/IdleUp.csv
0,graphics/Player/Run/Down/RunDown1.png
0,graphics/Player/Run/Down/RunDown2.png
0,graphics/Player/Run/Down/RunDown3.png
0,graphics/Player/Run/Down/RunDown4.png
0,graphics/Player/Run/Down/RunDown5.png
0,graphics/Player/Run/Down/RunDown6.png
0,graphics/Player/Run/Down/RunDown7.png
0,graphics/Player/Run/Down/RunDown8.png
0,graphics/Player/Run/Down/RunDown9.png
0,graphics/Player/Run/Down/RunDown10.png
3,animations/Player/Run/RunDown.csv
0,graphics/Player/Run/Right/RunRight1.png
0,graphics/Player/Run/Right/RunRight2.png
0,graphics/Player/Run/Right/RunRight3.png
0,graphics/Player/Run/Right/RunRight4.png
0,graphics/Player/Run/Right/RunRight5.png
0,graphics/Player/Run/Right/RunRight6.png
0,graphics/Player/Run/Right/RunRight7.png
0,graphics/Player/Run/Right/RunRight8.png
0,graphics/Player/Run/Right/RunRight9.png
0,graphics/Player/Run/Right/RunRight10.png
3,animations/Player/Run/RunRight.csv
0,graphics/Player/Run/Up/RunUp1.png
0,graphics/Player/Run/Up/RunUp2.png
0,graphics/Player/Run/Up/RunUp3.png
0,graphics/Player/Run/Up/RunUp4.png
0,graphics/Player/Run/Up/RunUp5.png
0,graphics/Player/Run/Up/RunUp6.png
0,graphics/Player/Run/Up/RunUp7.png
0,graphics/Player/Run/Up/RunUp8.png
0,graphics/Player/Run/Up/RunUp9.png
0,graphics/Player/Run/Up/RunUp10.png
3,animations/Player/Run/RunUp.csv
0,graphics/Player/Dash/DashDown.png
3,animations/Player/Dash/DashDown.csv
0,graphics/Player/Dash/DashRight1.png
0,graphics/Player/Dash/DashRight2.png
3,animations/Player/Dash/DashRight.csv
0,graphics/Player/Dash/DashUp.png
3,animations/Player/Dash/DashUp.csv
