tileName,tileIndexX,tileIndexY,tileType,tileSize,tileScale,tileLayer,textureId,topTextureRectL,topTextureRectT,bottomTextureRectL,bottomTextureRectT,spawnLocation
"Tile(0, 0)",0,0,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 1)",0,1,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 2)",0,2,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 3)",0,3,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 4)",0,4,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 5)",0,5,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 6)",0,6,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 7)",0,7,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 8)",0,8,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 9)",0,9,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 10)",0,10,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 11)",0,11,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 12)",0,12,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 13)",0,13,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 14)",0,14,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 15)",0,15,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 16)",0,16,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 17)",0,17,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 18)",0,18,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 19)",0,19,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 20)",0,20,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 21)",0,21,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 22)",0,22,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 23)",0,23,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 24)",0,24,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 25)",0,25,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 26)",0,26,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 27)",0,27,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 28)",0,28,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 29)",0,29,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 30)",0,30,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 31)",0,31,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 32)",0,32,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 33)",0,33,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 34)",0,34,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 35)",0,35,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 36)",0,36,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 37)",0,37,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 38)",0,38,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 39)",0,39,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 40)",0,40,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 41)",0,41,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 42)",0,42,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 43)",0,43,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 44)",0,44,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 45)",0,45,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 46)",0,46,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
"Tile(0, 47)",0,47,-1,16,4,0,graphics/editor/FireTileSet.png,0,0,0,496,-1
