tileName,tileIndexX,tileIndexY,tileType,tileSize,tileScale,tileLayer,textureId,topTextureRectL,topTextureRectT,bottomTextureRectL,bottomTextureRectT
"Tile(0, 0)",0,0,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 1)",0,1,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 2)",0,2,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 3)",0,3,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 4)",0,4,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 5)",0,5,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 6)",0,6,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 7)",0,7,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 8)",0,8,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 9)",0,9,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 10)",0,10,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 11)",0,11,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 12)",0,12,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 13)",0,13,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 14)",0,14,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 15)",0,15,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 16)",0,16,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 17)",0,17,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 18)",0,18,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 19)",0,19,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 20)",0,20,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 21)",0,21,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 22)",0,22,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(0, 23)",0,23,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,64,368
"Tile(1, 0)",1,0,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(1, 1)",1,1,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(1, 2)",1,2,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(1, 3)",1,3,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(1, 4)",1,4,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(1, 5)",1,5,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,48,336
"Tile(1, 6)",1,6,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,256
"Tile(1, 7)",1,7,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,208
"Tile(1, 8)",1,8,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,224
"Tile(1, 9)",1,9,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,208
"Tile(1, 10)",1,10,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,224
"Tile(1, 11)",1,11,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,208
"Tile(1, 12)",1,12,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,224
"Tile(1, 13)",1,13,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,208
"Tile(1, 14)",1,14,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,224
"Tile(1, 15)",1,15,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,208
"Tile(1, 16)",1,16,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,224
"Tile(1, 17)",1,17,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,208
"Tile(1, 18)",1,18,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,224
"Tile(1, 19)",1,19,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,208
"Tile(1, 20)",1,20,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,224
"Tile(1, 21)",1,21,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,48,352
"Tile(1, 22)",1,22,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(1, 23)",1,23,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,80,368
"Tile(2, 0)",2,0,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(2, 1)",2,1,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(2, 2)",2,2,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,208
"Tile(2, 3)",2,3,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,224
"Tile(2, 4)",2,4,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,240
"Tile(2, 5)",2,5,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,224
"Tile(2, 6)",2,6,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,240
"Tile(2, 7)",2,7,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,224
"Tile(2, 8)",2,8,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,240
"Tile(2, 9)",2,9,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,224
"Tile(2, 10)",2,10,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,240
"Tile(2, 11)",2,11,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,224
"Tile(2, 12)",2,12,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,240
"Tile(2, 13)",2,13,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,224
"Tile(2, 14)",2,14,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,240
"Tile(2, 15)",2,15,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,224
"Tile(2, 16)",2,16,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,240
"Tile(2, 17)",2,17,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,256
"Tile(2, 18)",2,18,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,272
"Tile(2, 19)",2,19,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,288
"Tile(2, 20)",2,20,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,304
"Tile(2, 21)",2,21,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,48,320
"Tile(2, 22)",2,22,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(2, 23)",2,23,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(3, 0)",3,0,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(3, 1)",3,1,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,0,336
"Tile(3, 2)",3,2,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,16,208
"Tile(3, 3)",3,3,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,16,240
"Tile(3, 4)",3,4,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,16,240
"Tile(3, 5)",3,5,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,16,240
"Tile(3, 6)",3,6,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,16,240
"Tile(3, 7)",3,7,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,16,240
"Tile(3, 8)",3,8,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,16,240
"Tile(3, 9)",3,9,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,16,240
"Tile(3, 10)",3,10,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,16,240
"Tile(3, 11)",3,11,-842150451,16,4,0,graphics/editor/FireTileSet.png,496,0,16,240
