tileName,tileIndexX,tileIndexY,tileType,tileSize,tileScale,tileLayer,textureId,topTextureRectL,topTextureRectT,bottomTextureRectL,bottomTextureRectT
"Tile(0, 0)",0,0,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 1)",0,1,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 2)",0,2,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 3)",0,3,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 4)",0,4,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 5)",0,5,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 6)",0,6,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 7)",0,7,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 8)",0,8,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 9)",0,9,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 10)",0,10,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 11)",0,11,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 12)",0,12,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 13)",0,13,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 14)",0,14,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 15)",0,15,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 16)",0,16,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 17)",0,17,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 18)",0,18,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 19)",0,19,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 20)",0,20,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 21)",0,21,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 22)",0,22,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 23)",0,23,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 24)",0,24,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 25)",0,25,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 26)",0,26,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 27)",0,27,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 28)",0,28,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 29)",0,29,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 30)",0,30,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(0, 31)",0,31,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 0)",1,0,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 1)",1,1,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 2)",1,2,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 3)",1,3,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 4)",1,4,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 5)",1,5,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 6)",1,6,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 7)",1,7,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 8)",1,8,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 9)",1,9,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 10)",1,10,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 11)",1,11,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 12)",1,12,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 13)",1,13,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 14)",1,14,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
"Tile(1, 15)",1,15,-842150451,16,4,0,graphics/editor/FireTileSet.png,0,0,0,0
